id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,label
1,13.801,16.752,15.483,15.279,17.489,16.811,16.722,16.811,17.15,17.662,17.413,17.686,17.257,17.686,18.119,17.964,17.987,19.596,19.596,20.228,19,17.388,16.811,17.413,18.226,19.733,19.777,19.486,17.964,16.248,21.504,24.236,22.567,22.011,20.537,17.15,14.603,15.362,18.226,19.208,19.733,20.424,21.393,22.497,23.836,24.9,24.784,24.941,24.007,22.926,21.563,20.779,21.966,22.861,23.434,24.377,24.236,23.284,22.176,20.732,23.491,26.383,25.589,25.148,25.399,24.904,24.656,25.427,26.598,26.476,25.558,23.742,23.15,23.284,24.102,24.977,25.216,26.004,25.872,25.919,25.317,25.025,25.85,26.406,26.919,27.217,26.722,25.994,24.656,23.789,-0.24578,-0.44939,-0.59454,-0.69859,-0.75332,-0.7508,-0.84279,-0.77077,-0.62415,-0.49223,-0.39913,-0.24303,-0.31109,-0.263,-0.2204,0.026945,0.17786,0.23217,0.22219,0.1758,0.041457,0.10033,0.31999,0.55193,0.67627,0.51395,0.3281,-0.0014026,-0.10283,-0.24578,-0.38138,-0.7401,-1.053,-1.38,-1.4444,-1.4073,-1.1841,-0.69269,-0.41035,-0.1505,-0.16783,-0.021588,0.1446,0.081181,0.13325,0.13975,0.096301,0.040287,0.03125,0.11406,0.079117,0.29782,0.49128,0.55581,0.58614,0.42685,0.19125,-0.10015,-0.24911,-0.38138,-0.022294,-0.33018,-0.6177,-0.81217,-0.90193,-0.81061,-0.80129,-0.67574,-0.60944,-0.67464,-0.63037,-0.46861,-0.38296,-0.16059,-0.096737,0.087981,0.14635,0.22781,0.33854,0.36005,0.30513,0.43473,0.58707,0.64193,0.63227,0.52397,0.34756,0.13065,0.061906,-0.022294,0
2,13.801,16.752,15.483,15.279,17.489,16.811,16.722,16.811,17.15,17.662,17.413,17.686,17.257,17.686,18.119,17.964,17.987,19.596,19.596,20.228,19,17.388,16.811,17.413,18.226,19.733,19.777,19.486,17.964,16.248,21.504,24.236,22.567,22.011,20.537,17.15,14.603,15.362,18.226,19.208,19.733,20.424,21.393,22.497,23.836,24.9,24.784,24.941,24.007,22.926,21.563,20.779,21.966,22.861,23.434,24.377,24.236,23.284,22.176,20.732,23.491,26.383,25.589,25.148,25.399,24.904,24.656,25.427,26.598,26.476,25.558,23.742,23.15,23.284,24.102,24.977,25.216,26.004,25.872,25.919,25.317,25.025,25.85,26.406,26.919,27.217,26.722,25.994,24.656,23.789,-0.24578,-0.44939,-0.59454,-0.69859,-0.75332,-0.7508,-0.84279,-0.77077,-0.62415,-0.49223,-0.39913,-0.24303,-0.31109,-0.263,-0.2204,0.026945,0.17786,0.23217,0.22219,0.1758,0.041457,0.10033,0.31999,0.55193,0.67627,0.51395,0.3281,-0.0014026,-0.10283,-0.24578,-0.38138,-0.7401,-1.053,-1.38,-1.4444,-1.4073,-1.1841,-0.69269,-0.41035,-0.1505,-0.16783,-0.021588,0.1446,0.081181,0.13325,0.13975,0.096301,0.040287,0.03125,0.11406,0.079117,0.29782,0.49128,0.55581,0.58614,0.42685,0.19125,-0.10015,-0.24911,-0.38138,-0.022294,-0.33018,-0.6177,-0.81217,-0.90193,-0.81061,-0.80129,-0.67574,-0.60944,-0.67464,-0.63037,-0.46861,-0.38296,-0.16059,-0.096737,0.087981,0.14635,0.22781,0.33854,0.36005,0.30513,0.43473,0.58707,0.64193,0.63227,0.52397,0.34756,0.13065,0.061906,-0.022294,0
3,5.0116,2.0013,7.0829,6.6086,8.4795,8.991,9.4486,6.4383,10.312,10.588,8.4795,8.4795,10.312,10.784,11.151,11.544,13.598,11.753,13.141,13.826,13.794,14.738,14.306,15.981,16.057,16.756,17.428,16.946,16.884,16,17.748,20.326,20.334,20.418,20.312,21.032,20.13,20.635,20.947,20.588,20.947,20.438,18.176,20.078,18.824,18.576,19.068,18.854,18.358,18.325,17.937,17.578,16.609,16.691,13.428,13.794,14.738,14.5,15.843,16.609,18.65,20.947,22.232,22.291,23.181,23.775,23.615,23.602,24.382,23.756,22.967,21.864,20.326,20.965,20.661,19.956,20.635,20.445,20.438,19.726,20.334,20.765,20.628,20.425,20.891,21.233,20.891,21.18,20.425,19.449,13.89,13.996,13.697,14.011,13.207,13.313,13.599,13.705,13.258,13.398,13.843,13.807,13.501,13.453,13.969,13.91,13.891,13.903,14.03,13.985,14.195,14.151,14.112,14.114,14.211,14.055,14.005,13.914,13.503,13.89,12.529,12.374,12.097,11.837,11.704,11.649,11.842,11.745,11.66,11.649,11.651,11.587,11.668,11.783,12.245,12.218,12.198,12.352,12.31,12.31,12.394,12.383,12.306,12.221,12.353,12.567,12.413,12.34,12.305,12.529,13.256,13.05,12.579,12.414,12.174,12.026,12.183,12.156,12.02,11.936,11.942,11.99,12.073,12.167,12.626,12.73,12.822,12.874,13.035,13.049,13.365,13.391,13.355,13.462,13.404,13.392,13.255,13.151,12.938,13.256,0
4,-0.53323,6.6268,6.4565,5.4874,8.4977,6.6268,8.6049,8.1591,9.6371,9.6371,9.4668,10.33,9.4668,11.05,10.111,11.771,12.647,13.122,13.159,12.52,14.209,14.091,13.617,15.149,15.921,15.921,17.146,16.964,17.19,16.559,19.086,20.149,20.208,20.984,20.464,21.169,20.089,20.712,20.859,20.653,19.865,19.744,18.761,19.467,18.052,18.432,18.961,18.72,18.052,18.432,17.596,16.902,16.297,15.333,14.858,14.209,15.355,15.658,15.149,15.149,19.654,21.426,22.213,22.926,23.159,23.699,23.443,23.529,23.954,23.656,23.276,22.477,20.916,21.314,20.23,19.785,20.23,20.2,20.23,19.912,20.464,20.436,20.457,20.878,20.909,20.783,21.513,21.05,20.443,19.467,14.535,14.811,14.374,14.204,14.355,13.846,14.084,14.181,14.3,14.061,14.157,14.075,14.459,14.469,15.025,14.695,14.726,14.67,14.638,14.692,14.918,14.812,14.922,14.899,14.906,14.762,14.749,14.535,14.219,14.535,13.227,13.008,12.718,12.608,12.378,12.338,12.49,12.404,12.296,12.216,12.331,12.24,12.356,12.469,12.828,12.937,12.997,12.974,12.976,12.942,12.995,12.873,12.864,12.904,13.046,13.061,12.906,13.112,12.718,13.227,14.009,13.748,13.342,13.157,12.91,12.753,12.905,12.838,12.705,12.697,12.685,12.652,12.786,12.922,13.399,13.437,13.565,13.639,13.732,13.854,14.099,14.091,14.176,14.126,14.191,14.101,13.996,13.843,13.564,14.009,0
5,-0.53323,6.6268,6.4565,5.4874,8.4977,6.6268,8.6049,8.1591,9.6371,9.6371,9.4668,10.33,9.4668,11.05,10.111,11.771,12.647,13.122,13.159,12.52,14.209,14.091,13.617,15.149,15.921,15.921,17.146,16.964,17.19,16.559,19.086,20.149,20.208,20.984,20.464,21.169,20.089,20.712,20.859,20.653,19.865,19.744,18.761,19.467,18.052,18.432,18.961,18.72,18.052,18.432,17.596,16.902,16.297,15.333,14.858,14.209,15.355,15.658,15.149,15.149,19.654,21.426,22.213,22.926,23.159,23.699,23.443,23.529,23.954,23.656,23.276,22.477,20.916,21.314,20.23,19.785,20.23,20.2,20.23,19.912,20.464,20.436,20.457,20.878,20.909,20.783,21.513,21.05,20.443,19.467,14.535,14.811,14.374,14.204,14.355,13.846,14.084,14.181,14.3,14.061,14.157,14.075,14.459,14.469,15.025,14.695,14.726,14.67,14.638,14.692,14.918,14.812,14.922,14.899,14.906,14.762,14.749,14.535,14.219,14.535,13.227,13.008,12.718,12.608,12.378,12.338,12.49,12.404,12.296,12.216,12.331,12.24,12.356,12.469,12.828,12.937,12.997,12.974,12.976,12.942,12.995,12.873,12.864,12.904,13.046,13.061,12.906,13.112,12.718,13.227,14.009,13.748,13.342,13.157,12.91,12.753,12.905,12.838,12.705,12.697,12.685,12.652,12.786,12.922,13.399,13.437,13.565,13.639,13.732,13.854,14.099,14.091,14.176,14.126,14.191,14.101,13.996,13.843,13.564,14.009,0
6,6.5981,6.5981,4.9844,7.0256,7.6561,7.2889,9.6084,8.9638,9.6084,8.5063,8.102,9.2169,11.517,11.517,11.268,13.114,12.144,13.31,13.114,12.943,14.279,14.015,15.237,16.817,16.817,16.461,18.217,18.102,17.402,15.866,19.849,19.646,21.118,21.16,21.384,20.989,21.258,21.507,20.989,20.811,21.175,20.431,20.331,19.608,18.759,18.339,18.832,17.907,19.409,19.151,19.409,18.583,17.452,17.452,15.028,15.496,15.028,14.253,15.496,13.677,20.299,21.521,23.476,24.083,24.355,23.635,24.24,24.253,23.841,23.117,22.887,22.77,22.115,21.102,20.209,19.608,19.653,20.578,20.873,20.607,20.666,21.01,21.227,22.596,21.054,21.175,22.859,21.175,21.344,19.608,12.989,13.07,13.185,12.777,12.668,12.645,12.541,12.358,12.653,12.793,12.496,12.72,12.961,12.875,13.177,13.327,13.31,13.319,13.354,13.354,13.166,13.325,13.566,13.528,13.545,13.531,13.25,12.987,12.882,12.989,11.592,11.435,11.224,11.083,11.01,10.916,10.748,10.745,10.748,10.854,10.814,10.761,10.917,10.746,11.275,11.322,11.387,11.371,11.524,11.63,11.403,11.26,11.507,11.352,11.631,11.67,11.509,11.548,11.345,11.592,12.372,12.103,11.832,11.582,11.467,11.354,11.214,11.177,11.126,11.191,11.107,11.155,11.251,11.289,11.743,11.808,11.99,12.119,12.256,12.501,12.29,12.344,12.588,12.578,12.695,12.698,12.455,12.269,12.137,12.372,0
7,3.5488,4.7139,-1.57,7.0334,7.0334,9.3991,9.3991,9.3991,9.6521,9.5694,8.43,9.5694,11.102,10.734,10.734,11.043,12.277,12.453,13.091,13.549,13.549,14.688,14.505,16.008,15.59,17.063,18.173,17.122,16.787,15.794,19.009,19.93,20.734,21.043,20.792,20.766,20.578,21.06,20.842,20.044,20.792,19.677,18.032,19.652,18.537,18.173,19.009,19.018,18.941,17.699,17.568,17.8,16.492,17.724,13.993,14.714,15.42,14.986,16.102,14.141,19.644,21.286,22.255,23.305,23.039,23.481,23.632,24.008,24.112,23.406,23.347,22.277,21.402,21.483,20.734,19.717,20.044,19.677,20.162,20.029,20.263,19.93,20.073,21.013,20.709,20.897,22.127,20.43,20.848,19.267,13.742,13.888,12.956,13.459,13.532,13.25,13.206,13.446,13.266,13.445,13.419,13.641,13.316,13.494,13.888,13.804,13.911,13.741,13.937,14.104,14.06,14.034,14.132,14.098,14.131,14.068,13.947,13.672,13.499,13.742,12.358,12.137,11.954,11.76,11.63,11.583,11.575,11.599,11.526,11.565,11.555,11.536,11.574,11.555,12.018,12.175,12.158,12.201,12.179,12.308,12.185,12.131,12.271,12.182,12.246,12.452,12.363,12.261,11.998,12.358,13.079,12.85,12.557,12.323,12.113,11.973,11.958,11.877,11.894,11.846,11.909,11.869,11.959,11.98,12.476,12.594,12.693,12.867,12.984,13.133,13.098,13.15,13.283,13.333,13.372,13.355,13.154,12.948,12.825,13.079,0
8,3.5488,4.7139,-1.57,7.0334,7.0334,9.3991,9.3991,9.3991,9.6521,9.5694,8.43,9.5694,11.102,10.734,10.734,11.043,12.277,12.453,13.091,13.549,13.549,14.688,14.505,16.008,15.59,17.063,18.173,17.122,16.787,15.794,19.009,19.93,20.734,21.043,20.792,20.766,20.578,21.06,20.842,20.044,20.792,19.677,18.032,19.652,18.537,18.173,19.009,19.018,18.941,17.699,17.568,17.8,16.492,17.724,13.993,14.714,15.42,14.986,16.102,14.141,19.644,21.286,22.255,23.305,23.039,23.481,23.632,24.008,24.112,23.406,23.347,22.277,21.402,21.483,20.734,19.717,20.044,19.677,20.162,20.029,20.263,19.93,20.073,21.013,20.709,20.897,22.127,20.43,20.848,19.267,13.742,13.888,12.956,13.459,13.532,13.25,13.206,13.446,13.266,13.445,13.419,13.641,13.316,13.494,13.888,13.804,13.911,13.741,13.937,14.104,14.06,14.034,14.132,14.098,14.131,14.068,13.947,13.672,13.499,13.742,12.358,12.137,11.954,11.76,11.63,11.583,11.575,11.599,11.526,11.565,11.555,11.536,11.574,11.555,12.018,12.175,12.158,12.201,12.179,12.308,12.185,12.131,12.271,12.182,12.246,12.452,12.363,12.261,11.998,12.358,13.079,12.85,12.557,12.323,12.113,11.973,11.958,11.877,11.894,11.846,11.909,11.869,11.959,11.98,12.476,12.594,12.693,12.867,12.984,13.133,13.098,13.15,13.283,13.333,13.372,13.355,13.154,12.948,12.825,13.079,0
9,5.9636,6.6081,4.9945,6.6081,6.6081,8.5163,7.6662,8.0048,9.6184,10.113,8.112,10.113,9.6184,12.027,10.617,11.122,14.079,13.598,13.598,14.365,13.716,14.365,14.84,14.862,16.638,17.26,18.005,18.059,17.748,16.953,19.505,20.676,19.887,20.385,21.66,21.78,21.278,21.66,22.027,20.999,20.982,19.603,18.815,19.251,19.153,19.372,19.837,18.438,18.507,19.656,18.886,18.258,16.726,15.165,16.134,14.994,16.134,15.506,16.217,13.716,19.505,21.551,22.091,23.498,23.32,24.248,23.725,24.402,25.083,24.074,23.501,22.572,20.758,21.439,21.253,20.883,21.128,20.977,20.617,20.611,20.617,21.414,20.866,21.122,21.434,21.015,21.439,21.414,20.416,20.441,13.603,13.458,13.61,13.645,13.714,13.105,13.355,13.151,13.303,13.14,13.22,13.327,13.677,13.49,13.91,13.688,13.671,13.848,13.799,13.799,13.871,13.986,13.975,13.959,13.993,14.001,13.821,13.593,13.406,13.603,12.347,12.229,11.825,11.739,11.491,11.345,11.588,11.409,11.43,11.375,11.45,11.441,11.456,11.61,11.96,12.007,12.051,12.062,12.049,12.1,12.025,12.049,12.133,12.091,12.145,12.25,12.106,12.069,12.006,12.347,13.016,12.885,12.425,12.264,12.018,11.859,12.031,11.925,11.81,11.747,11.762,11.784,11.815,12.023,12.512,12.491,12.608,12.801,12.828,12.958,13.087,13.211,13.16,13.268,13.298,13.248,13.131,12.952,12.825,13.016,0
10,5.9511,5.9511,5.9511,6.1215,8.0996,6.5957,7.2865,9.825,8.9614,8.0996,10.605,10.101,10.605,9.606,8.8737,11.466,11.972,12.142,13.704,14.276,13.585,15.235,15.089,16.581,16.204,16.596,18.874,17.13,18.046,16.071,20.101,20.121,21.557,21.817,20.97,20.808,20.693,21.591,20.786,20.373,19.367,19.937,21.013,19.643,18.367,17.871,18.367,19.005,18.656,20.013,19.931,18.494,17.535,16.626,14.85,14.827,16.138,15.089,16.269,12.142,20.478,21.666,23.838,24.276,23.663,23.838,23.663,24.33,23.997,23.269,22.835,22.654,22.441,21.744,20.478,19.76,20.206,19.958,20.354,20.278,21.24,20.915,21.839,22.605,21.24,21.051,22.503,21.173,21.839,19.132,14.37,14.366,14.002,14.195,14.246,13.892,14.165,13.853,13.758,13.927,13.816,14.047,14.092,14.207,14.726,14.636,14.357,14.55,14.316,14.551,14.707,14.625,14.688,14.688,14.716,14.585,14.484,14.268,13.974,14.37,13.05,12.891,12.575,12.504,12.267,12.215,12.321,12.2,12.129,12.292,12.265,12.25,12.296,12.406,12.811,12.885,12.883,12.988,13.012,13.084,13.033,12.904,13.066,12.997,13.092,13.238,13.15,12.992,12.946,13.05,13.749,13.455,13.189,12.975,12.758,12.616,12.678,12.59,12.529,12.487,12.516,12.48,12.576,12.658,13.165,13.218,13.328,13.484,13.554,13.743,13.849,13.846,13.962,13.958,13.985,13.951,13.81,13.681,13.458,13.749,0
